,画素値 X 線形,画素値 X ヒストグラム交差,画素値 X 放射基底関数,ヒストグラム X 線形,ヒストグラム X ヒストグラム交差,ヒストグラム X 放射基底関数,Bag of Words X 線形,Bag of Words X ヒストグラム交差,Bag of Words X 放射基底関数
0,100,0,0,100,0,0,100,0,100
1,100,0,0,50,50,0,100,0,100
2,100,0,0,66,66,0,100,33,100
3,100,0,0,75,50,25,100,25,100
4,100,20,0,80,60,20,100,40,80
5,100,16,0,83,50,33,100,50,66
6,100,28,0,85,57,28,100,57,71
7,100,37,0,87,62,37,100,62,75
8,100,44,0,77,66,44,88,66,77
9,100,40,0,80,70,50,80,70,80
10,100,45,0,72,72,45,81,72,81
11,100,41,0,75,75,50,83,75,83
12,100,38,0,76,69,53,84,69,84
13,100,42,0,71,71,57,85,71,85
14,100,46,0,66,66,53,86,66,86
15,100,43,0,62,62,50,87,68,87
16,100,47,0,58,64,52,88,70,88
17,94,50,0,61,66,55,88,66,88
18,94,52,0,63,63,57,89,63,84
19,95,55,0,65,65,60,90,65,85
20,90,52,0,61,61,57,90,61,85
21,86,50,0,63,59,54,86,59,86
22,82,52,0,60,56,52,82,60,82
23,83,50,0,62,54,50,83,58,83
24,80,48,0,64,56,48,80,60,84
25,76,50,0,65,57,46,80,57,80
26,77,51,0,66,59,48,77,55,81
27,75,53,0,67,60,46,78,57,78
28,72,51,0,65,58,48,75,55,75
29,70,50,0,66,56,50,76,53,73
30,67,51,0,64,54,48,77,54,74
31,65,50,0,62,56,50,78,56,75
32,63,51,0,63,54,48,75,54,72
33,64,52,0,64,52,47,73,52,70
34,62,54,0,65,51,45,74,51,68
35,63,55,0,63,50,44,75,52,66
36,64,54,0,62,51,43,72,51,64
37,65,55,0,63,50,42,73,50,65
38,66,53,0,61,51,41,74,48,64
39,67,52,0,62,50,40,75,50,65
40,65,53,2,60,51,41,75,51,65
41,64,54,4,59,52,42,76,52,66
42,62,55,6,60,51,44,74,51,67
43,61,56,9,61,52,45,75,52,68
44,60,57,11,60,51,46,73,53,68
45,58,58,13,58,52,45,71,54,69
46,59,57,14,59,53,44,70,55,70
47,58,58,16,58,52,45,68,56,70
48,57,59,18,57,53,46,67,57,71
49,56,58,20,56,52,48,66,58,72
50,56,58,21,54,50,47,66,58,72
51,57,57,23,53,51,46,65,59,73
52,58,58,24,52,52,47,66,60,73
53,59,59,25,53,51,48,64,61,74
54,58,60,27,52,52,47,63,61,74
55,58,58,28,51,51,46,62,62,75
56,59,59,29,50,50,47,61,63,75
57,60,58,31,50,51,46,62,63,75
58,61,59,32,50,52,47,62,62,76
59,60,60,33,50,51,46,61,63,76
