,画素値 X 線形,画素値 X ヒストグラム交差,画素値 X 放射基底関数,ヒストグラム X 線形,ヒストグラム X ヒストグラム交差,ヒストグラム X 放射基底関数,Bag of Words X 線形,Bag of Words X ヒストグラム交差,Bag of Words X 放射基底関数
0,0,0,0,0,100,0,0,0,100
1,0,0,0,50,50,50,0,50,50
2,0,33,0,66,33,33,0,33,33
3,0,25,0,75,50,25,0,25,25
4,20,20,0,60,60,20,0,20,20
5,16,16,0,66,50,16,0,16,16
6,14,14,0,57,42,28,0,14,28
7,25,12,0,50,37,25,0,12,25
8,33,22,0,44,33,33,0,11,33
9,30,20,0,50,30,30,0,10,30
10,27,18,0,54,36,27,0,9,27
11,33,16,0,50,33,33,0,16,25
12,30,15,0,46,30,30,0,15,23
13,35,14,0,50,28,28,0,21,21
14,33,20,0,53,26,33,6,26,26
15,31,18,0,56,25,31,6,25,31
16,35,17,0,52,23,29,11,29,29
17,38,22,0,50,27,27,11,27,27
18,42,21,0,47,26,26,15,26,31
19,45,20,0,45,25,25,20,25,30
20,47,19,4,42,23,23,19,23,33
21,45,18,9,40,27,22,18,22,36
22,47,17,13,39,26,26,17,26,39
23,45,20,16,37,25,29,20,29,41
24,48,24,20,36,24,28,24,28,44
25,50,26,23,38,23,26,23,26,42
26,48,29,25,37,22,25,25,25,40
27,50,32,28,35,25,28,28,28,42
28,51,31,31,34,24,31,27,27,44
29,53,30,33,33,23,30,30,26,46
